role1	role2	genomes
LSU ribosomal protein L25p	tRNA-Gln	813.178,489703.3,1884905.18,1560006.3,2023178.18,2069310.3,2030824.4,754252.34,1408281.4,518.42,1945871.3,159.151
Flagellar biosynthesis protein FlhA	Flagellar biosynthesis protein FliR	1121447.3,1639.4260,2183990.3,1491.958,2023178.18,2597224.3,479434.6,157176.8,309798.4,159.151,394503.7,126741.4,166793.3,379066.3,796939.3,795359.3,1560006.3,525909.11,166.4,679936.5
Flagellar biosynthesis protein FlhA	Flagellar biosynthesis protein FliQ	1639.4260,2183990.3,1491.958,2023178.18,1002870.3,2597224.3,479434.6,2030824.4,157176.8,309798.4,159.151,394503.7,166793.3,379066.3,796939.3,2003555.3,795359.3,1946798.3,525909.11,166.4,1121911.3,1947072.3,679936.5
Cell division protein FtsZ	SepF, FtsZ-interacting protein related to cell division	1639.4260,2183990.3,1423720.4,2069310.3,479430.3,1294039.3,521095.6,1884905.18,525909.11,2702.133,754252.34,295596.4,266117.10
protein from nitrogen regulatory protein P-II (GLNB) family, ortholog YAAQ B. subtilis	Thymidylate kinase (EC 2.7.4.9)	1639.4260,1491.958,1260.19,479434.6,309798.4,525904.6,655811.4,394503.7,454171.5,938289.3,1946798.3,926550.5,1121911.3,679936.5
2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16)	583355.3,2183990.3,1491.958,727.1550,1423720.4,572547.3,2067454.3,394503.7,796939.3,1560006.3,1946798.3,679936.5,266117.10
Flagellar biosynthesis protein FlhA	Flagellar biosynthesis protein FliP	2183990.3,1491.958,980251.5,2023178.18,2597224.3,2030824.4,157176.8,309798.4,159.151,379066.3,796939.3,795359.3,525909.11,1121911.3,1947072.3,1639.4260,1002870.3,479434.6,394503.7,166793.3,2003555.3,1560006.3,1946798.3,166.4,679936.5
Glycyl-tRNA synthetase (EC 6.1.1.14)	GTP-binding protein Era	1408417.3,1262806.3,28227.8,2003555.3,525909.11,1408467.3,37692.4,295320.3,1121911.3,295596.4
Adenylate kinase (EC 2.7.4.3)	LSU ribosomal protein L36p, zinc-dependent	1882918.15,2183990.3,1737569.3,1521403.3,572547.3,309798.4,525904.6,1294039.3,2099.43,521095.6,795359.3,525909.11,754252.34,1121911.3,266117.10,1639.4260,608534.3,28227.8,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,394503.7,454171.5,1884905.18,1560006.3,1946798.3,1491.958,2023178.18,1946283.3,2597224.3,1408281.4,655811.4,796939.3,1946251.3,2702.133,1947072.3,1423720.4,1946294.3,938289.3,126741.4,166793.3,59620.1701,1946522.3,926550.5,243273.25,2100.35
KtrAB potassium uptake system, integral membrane component KtrB	KtrAB potassium uptake system, peripheral membrane component KtrA	2183990.3,1491.958,1737569.3,1521403.3,2023178.18,349741.6,572547.3,309798.4,525904.6,655811.4,1609969.5,1647103.3,1947784.3,1805053.3,190304.8,796939.3,137778.5,1121911.3,266117.10,2605989.3,608534.3,2069310.3,1260.19,479434.6,1945871.3,938289.3,456827.3,166.4
Flagellar biosynthesis protein FlhB	Flagellar biosynthesis protein FlhF	1121447.3,1639.4260,1491.958,2597224.3,479434.6,2030824.4,157176.8,309798.4,518.42,159.151,394503.7,1437881.3,489703.3,126741.4,379066.3,796939.3,795359.3,166.4,1121911.3,1947072.3,679936.5
Ferric iron ABC transporter, ATP-binding protein	Ferric iron ABC transporter, iron-binding protein	1121447.3,608534.3,190304.8,727.1550,926569.3,2003555.3,479434.6,1123388.3,518.42,159.151
LSU ribosomal protein L24p (L26e)	LSU ribosomal protein L6p (L9e)	1121447.3,2490941.3,247481.57,1882918.15,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,2601575.3,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1391995.3,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,1946269.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,1946522.3,926550.5,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,1206109.5,754252.34,1121911.3,1961371.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,376620.10,295320.3,583355.3,349741.6,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1946294.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
TldD protein, part of TldE/TldD proteolytic complex	TldE protein, part of TldE/TldD proteolytic complex	1521403.3,2023178.18,374847.13,157176.8,263820.9,309798.4,159.151,1408417.3,203907.6,1946251.3,525909.11,272844.11,1947072.3,444157.8,2162266.3,1919250.3,1123388.3,415426.13,1437881.3,938289.3,126741.4,2003555.3,37692.4,1435377.6,295320.3
LSU ribosomal protein L22p (L17e)	LSU ribosomal protein L2p (L8e)	1121447.3,2490941.3,1882918.15,980251.5,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1391995.3,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,2601646.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,926550.5,1972133.3,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,1972134.3,376620.10,295320.3,583355.3,349741.6,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
LSU ribosomal protein L23p (L23Ae)	LSU ribosomal protein L4p (L1e)	1121447.3,2490941.3,247481.57,1882918.15,980251.5,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1391995.3,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,1946269.3,2601646.3,938289.3,1719125.3,59620.1701,1548207.7,1946522.3,926550.5,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,1972134.3,376620.10,583355.3,349741.6,1946283.3,489703.3,379066.3,1749045.3,481448.7,2702.133,1947072.3,813.178,1423720.4,1079.16,1919250.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
Translation elongation factor Ts	Uridylate kinase (EC 2.7.4.22)	1121447.3,2490941.3,557993.3,2183990.3,1737569.3,980251.5,572547.3,1970770.3,157176.8,309798.4,525904.6,1294039.3,1408417.3,1609969.5,521095.6,1805053.3,59196.3,795359.3,2024841.10,525909.11,1306947.3,754252.34,1121911.3,1241833.3,266117.10,2605989.3,28227.8,926569.3,2069310.3,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,295320.3,1491.958,716544.4,2023178.18,2597224.3,1408281.4,1647103.3,1947784.3,489703.3,190304.8,1946934.3,379066.3,1749045.3,203907.6,1946251.3,428411.4,2702.133,1318617.4,1947072.3,813.178,1423720.4,1408467.3,1079.16,1919250.3,1945871.3,1437881.3,938289.3,1719125.3,126741.4,166793.3,456827.3,59620.1701,1946522.3,926550.5,1715285.3,243273.25,295596.4,679936.5
LSU ribosomal protein L26e (L24p)	LSU ribosomal protein L5e (L18p)	415426.13,406327.12,64091.14,349307.15,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
LSU ribosomal protein L23Ae (L23p)	LSU ribosomal protein L3e (L3p)	406327.12,444157.8,64091.14,436308.17,374847.13,263820.9,415426.13,349307.15,397948.10,272844.11,1577791.3,1435377.6,339860.19
Flagellar biosynthesis protein FlhB	Flagellar biosynthesis protein FliR	1121447.3,1639.4260,2490941.3,2605989.3,2183990.3,2023178.18,2597224.3,479434.6,157176.8,309798.4,159.151,394503.7,454171.5,1647103.3,126741.4,166793.3,379066.3,796939.3,795359.3,1560006.3,525909.11,376620.10,166.4,679936.5
ATPase component of general energizing module of ECF transporters	Transmembrane component of general energizing module of ECF transporters	1491.958,572547.3,374847.13,309798.4,655811.4,1408417.3,2099.43,521095.6,1805053.3,796939.3,272844.11,1318617.4,1121911.3,266117.10,1639.4260,608534.3,1423720.4,28227.8,926569.3,1260.19,1408467.3,479434.6,394503.7,938289.3,1946798.3,37692.4,243273.25,2100.35
3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase (EC 3.7.1.22)	5-keto-2-deoxygluconokinase (EC 2.7.1.92)	1639.4260,2490941.3,2099.43,608534.3,2183990.3,166793.3,1737569.3,1946251.3,1002870.3,1919250.3,926550.5,754252.34
Flagellar biosynthesis protein FlhB	Flagellar biosynthesis protein FliQ	2490941.3,2183990.3,1491.958,980251.5,2023178.18,2597224.3,2030824.4,157176.8,309798.4,159.151,1647103.3,1946934.3,379066.3,796939.3,795359.3,2024841.10,525909.11,1121911.3,1947072.3,1639.4260,1002870.3,479434.6,394503.7,454171.5,166793.3,2003555.3,1946798.3,376620.10,166.4,679936.5
Flagellar biosynthesis protein FlhB	Flagellar biosynthesis protein FliP	2183990.3,1491.958,2023178.18,2597224.3,2030824.4,157176.8,309798.4,159.151,1704307.4,1647103.3,379066.3,796939.3,795359.3,525909.11,1121911.3,1947072.3,1639.4260,2605989.3,1002870.3,1079.16,479434.6,394503.7,166793.3,2003555.3,1560006.3,1946798.3,166.4,679936.5
Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	Protein translocase subunit SecD	1639.4260,2183990.3,2069310.3,1946283.3,1946294.3,479430.3,309798.4,1294039.3,166793.3,1884905.18,2003555.3,1946522.3,754252.34
Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	Protein translocase subunit SecF	1294039.3,1639.4260,2183990.3,1884905.18,2003555.3,2069310.3,1946522.3,479430.3,754252.34,309798.4
LSU ribosomal protein L25p	LSU ribosomal protein L9p	1704307.4,2605989.3,813.178,456827.3,716544.4,980251.5,1560006.3,2200854.3,1548207.7,481448.7,2030824.4
Vitamin B12 ABC transporter, ATP-binding protein BtuD	Vitamin B12 ABC transporter, substrate-binding protein BtuF	1947784.3,126741.4,1491.958,379066.3,926569.3,1521403.3,397948.10,572547.3,479430.3,1121911.3,159.151,394503.7
LSU ribosomal protein L23p (L23Ae)	LSU ribosomal protein L5p (L11e)	1121447.3,2490941.3,247481.57,1882918.15,980251.5,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,1946269.3,2601646.3,938289.3,1719125.3,59620.1701,1548207.7,926550.5,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,1805053.3,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,266117.10,608534.3,41978.26,445932.6,479434.6,479430.3,1123388.3,1972134.3,376620.10,583355.3,1946283.3,489703.3,379066.3,1749045.3,481448.7,2702.133,1947072.3,813.178,1423720.4,1079.16,1919250.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
LSU ribosomal protein L22p (L17e)	LSU ribosomal protein L3p (L3e)	1121447.3,2490941.3,980251.5,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1391995.3,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,2601646.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,926550.5,1972133.3,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,1972134.3,376620.10,295320.3,583355.3,349741.6,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	1947784.3,64091.14,2183990.3,1884905.18,716544.4,1521403.3,2069310.3,2162266.3,479434.6,525904.6,679936.5
Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	Peptide chain release factor 2	557993.3,1882918.15,727.1550,445932.6,2597224.3,157176.8,518.42,36868.4,1971488.3,1437881.3,489703.3,1719125.3,379066.3,59196.3,203907.6,1206109.5,428411.4,1972134.3,1715285.3,1241833.3
Ribonuclease HII (EC 3.1.26.4)	Signal peptidase I (EC 3.4.21.89)	1639.4260,608534.3,2183990.3,1491.958,2069310.3,41978.26,572547.3,1002870.3,479430.3,309798.4,394503.7,454171.5,1391995.3,1805053.3,166793.3,1884905.18,2601575.3,2702.133,754252.34,1121911.3,679936.5
LSU ribosomal protein L32e	Protein translocase subunit SecY	415426.13,406327.12,64091.14,349307.15,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
LSU ribosomal protein L33p	Protein translocase subunit SecE	1491.958,1737569.3,572547.3,210.5028,157176.8,525904.6,655811.4,159.151,521095.6,190304.8,379066.3,795359.3,525909.11,137778.5,754252.34,266117.10,1639.4260,608534.3,28227.8,926569.3,41978.26,445932.6,1260.19,1919250.3,479434.6,479430.3,1123388.3,394503.7,454171.5,126741.4,1884905.18,456827.3,679936.5
LSU ribosomal protein L20p	Translation initiation factor 3	1121447.3,557993.3,247481.57,2183990.3,572547.3,1970770.3,210.5028,157176.8,309798.4,525904.6,159.151,36868.4,1294039.3,1408417.3,1432327.4,1609969.5,2099.43,521095.6,1805053.3,59196.3,1206109.5,525909.11,1306947.3,137778.5,754252.34,1121911.3,1241833.3,266117.10,1639.4260,608534.3,1262806.3,28227.8,2069310.3,41978.26,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,394503.7,454171.5,1884905.18,1946798.3,37692.4,1491.958,716544.4,2023178.18,1946283.3,2597224.3,673862.3,1408281.4,655811.4,1947784.3,489703.3,190304.8,379066.3,796939.3,1749045.3,203907.6,1946251.3,428411.4,481448.7,2702.133,1947072.3,813.178,727.1550,1423720.4,1332188.3,1919250.3,1946294.3,1945871.3,1946269.3,1437881.3,938289.3,1719125.3,126741.4,166793.3,456827.3,59620.1701,1946522.3,926550.5,166.4,1715285.3,243273.25,2100.35,295596.4,679936.5
2'-5' RNA ligase	RecA protein	454171.5,126741.4,1805053.3,456827.3,1737569.3,2003555.3,572547.3,1123388.3,157176.8,309798.4
Flagellar biosynthesis protein FliQ	Flagellar biosynthesis protein FliR	2490941.3,557993.3,2183990.3,1491.958,2023178.18,2597224.3,157176.8,309798.4,159.151,36868.4,1647103.3,489703.3,379066.3,796939.3,795359.3,525909.11,1639.4260,1079.16,479434.6,518.42,394503.7,454171.5,1437881.3,166793.3,376620.10,166.4,679936.5
Flagellar assembly protein FliH	Flagellar basal-body rod protein FlgB	1121447.3,1639.4260,454171.5,1491.958,795359.3,525909.11,479434.6,166.4,309798.4,679936.5,394503.7
Flagellar assembly protein FliH	Flagellar basal-body rod protein FlgC	1121447.3,1639.4260,454171.5,1491.958,379066.3,795359.3,525909.11,479434.6,166.4,309798.4,679936.5,394503.7
Two-component system sensor histidine kinase	Uncharacterized MFS-type transporter	1437881.3,2183990.3,1491.958,166793.3,926569.3,1737569.3,1521403.3,1946798.3,479430.3,754252.34,679936.5
LSU ribosomal protein L22p (L17e)	LSU ribosomal protein L4p (L1e)	1121447.3,2490941.3,1882918.15,980251.5,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1391995.3,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,2601646.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,926550.5,1972133.3,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,518.42,1560006.3,1972134.3,376620.10,295320.3,583355.3,349741.6,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
LSU ribosomal protein L23p (L23Ae)	LSU ribosomal protein L6p (L9e)	1121447.3,813.178,1262806.3,716544.4,1401685.3,1970770.3,1919250.3,210.5028,309798.4,1945871.3,2601646.3,1294039.3,163164.29,1805053.3,456827.3,137778.5,1972134.3
Cytochrome c oxidase polypeptide I (EC 1.9.3.1)	Cytochrome c oxidase polypeptide II (EC 1.9.3.1)	2490941.3,583355.3,1882918.15,2183990.3,1737569.3,1521403.3,2023178.18,436308.17,2030824.4,263820.9,525904.6,1294039.3,1704307.4,1647103.3,489703.3,1946934.3,379066.3,59196.3,1749045.3,2024841.10,525909.11,2605989.3,64091.14,926569.3,1401685.3,2069310.3,1002870.3,2162266.3,1919250.3,479434.6,479430.3,1123388.3,518.42,454171.5,1437881.3,163164.29,166793.3,1884905.18,2003555.3,1560006.3,1548207.7,1946522.3,926550.5,679936.5
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	(R)-citramalate synthase (EC 2.3.1.182)	926569.3,2069310.3,479430.3,525904.6,2067454.3,454171.5,126741.4,166793.3,1884905.18,2003555.3,1946798.3,525909.11,272844.11,926550.5,266117.10
LSU ribosomal protein L27Ae (L15p)	LSU ribosomal protein L5e (L18p)	415426.13,406327.12,64091.14,349307.15,436308.17,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
Glutamate racemase (EC 5.1.1.3)	Ribonuclease PH (EC 2.7.7.56)	1639.4260,1609969.5,2183990.3,1391995.3,1884905.18,1737569.3,2003555.3,2069310.3,525909.11,1002870.3,479430.3,754252.34
LSU ribosomal protein L30p (L7e)	Protein translocase subunit SecY	1121447.3,2490941.3,557993.3,247481.57,2183990.3,1737569.3,572547.3,1970770.3,525904.6,159.151,36868.4,1294039.3,1408417.3,521095.6,59196.3,795359.3,525909.11,1121911.3,1241833.3,266117.10,1639.4260,608534.3,926569.3,2069310.3,41978.26,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,1884905.18,2003555.3,1560006.3,1946798.3,37692.4,376620.10,295320.3,1491.958,2023178.18,1946283.3,655811.4,2067454.3,1647103.3,1947784.3,190304.8,379066.3,796939.3,203907.6,1946251.3,2702.133,727.1550,1423720.4,1919250.3,1946294.3,1945871.3,1437881.3,938289.3,126741.4,166793.3,456827.3,1946522.3,926550.5,166.4,1715285.3,679936.5
3'-to-5' oligoribonuclease A, Bacillus type	FMN adenylyltransferase (EC 2.7.7.2)	583355.3,1491.958,980251.5,2200854.3,349741.6,572547.3,1408281.4,309798.4,655811.4,1704307.4,1609969.5,521095.6,796939.3,1946251.3,481448.7,1121911.3,266117.10,2605989.3,608534.3,41978.26,445932.6,1002870.3,1260.19,479434.6,394503.7,938289.3,456827.3,1548207.7,926550.5,679936.5
Flagellar biosynthesis protein FlhA	Flagellar biosynthesis protein FlhB	1121447.3,557993.3,2183990.3,1491.958,2023178.18,2597224.3,2030824.4,157176.8,309798.4,159.151,36868.4,489703.3,379066.3,796939.3,795359.3,525909.11,1121911.3,1241833.3,1947072.3,1639.4260,1002870.3,479434.6,518.42,394503.7,1437881.3,126741.4,166793.3,2003555.3,1560006.3,1946798.3,166.4,679936.5
LSU ribosomal protein L34p	RNA-binding protein Jag	1121447.3,2183990.3,1521403.3,2023178.18,1946283.3,309798.4,525904.6,655811.4,159.151,1408417.3,521095.6,190304.8,796939.3,795359.3,1946251.3,525909.11,2702.133,754252.34,1121911.3,1947072.3,266117.10,1639.4260,608534.3,1262806.3,926569.3,2069310.3,41978.26,1002870.3,1260.19,479434.6,479430.3,1123388.3,394503.7,454171.5,938289.3,126741.4,166793.3,1884905.18,2003555.3,1560006.3,1946798.3,926550.5
Flagellar biosynthesis protein FlhA	Flagellar biosynthesis protein FlhF	1121447.3,1639.4260,2605989.3,1491.958,2597224.3,479434.6,2030824.4,157176.8,309798.4,518.42,159.151,394503.7,1437881.3,489703.3,126741.4,379066.3,796939.3,795359.3,166.4,1121911.3,1947072.3,679936.5
LSU ribosomal protein L22p (L17e)	LSU ribosomal protein L5p (L11e)	1121447.3,2490941.3,1882918.15,980251.5,2200854.3,572547.3,1970770.3,2030824.4,525904.6,159.151,1432327.4,1704307.4,1609969.5,525909.11,1306947.3,137778.5,1241833.3,1639.4260,2605989.3,1262806.3,28227.8,926569.3,1002870.3,1260.19,394503.7,454171.5,163164.29,1884905.18,2003555.3,1946798.3,37692.4,1491.958,716544.4,2023178.18,2597224.3,673862.3,1408281.4,655811.4,2067454.3,1647103.3,1947784.3,190304.8,1946934.3,796939.3,203907.6,727.1550,1401685.3,1408467.3,2162266.3,2601646.3,1971488.3,938289.3,1719125.3,59620.1701,1548207.7,926550.5,1972133.3,243273.25,2100.35,557993.3,2183990.3,1737569.3,1521403.3,210.5028,157176.8,309798.4,36868.4,1294039.3,1408417.3,2099.43,521095.6,59196.3,795359.3,2024841.10,1206109.5,754252.34,1121911.3,266117.10,608534.3,2069310.3,41978.26,445932.6,479434.6,479430.3,1123388.3,1560006.3,1972134.3,376620.10,295320.3,583355.3,1946283.3,489703.3,379066.3,1749045.3,1946251.3,428411.4,481448.7,2702.133,1318617.4,1947072.3,813.178,1423720.4,1332188.3,1079.16,1919250.3,1945871.3,1437881.3,126741.4,166793.3,456827.3,166.4,1715285.3,295596.4,679936.5
3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)	Outer membrane protein assembly factor YaeT	1121447.3,2490941.3,557993.3,445932.6,572547.3,1079.16,1408281.4,157176.8,518.42,36868.4,454171.5,1437881.3,163164.29,1647103.3,489703.3,1946934.3,59196.3,203907.6,2024841.10,376620.10,1715285.3
KH domain RNA binding protein YlqC	UPF0102 protein YraN	1121447.3,1294039.3,454171.5,608534.3,938289.3,166793.3,1946798.3,2023178.18,1260.19,1121911.3,1408281.4,266117.10
Methionine aminopeptidase (EC 3.4.11.18)	tRNA pseudouridine(38-40) synthase (EC 5.4.99.12)	926569.3,1002870.3,479434.6,479430.3,525904.6,454171.5,166793.3,1884905.18,2003555.3,525909.11,2601575.3,926550.5,679936.5
N-acetylornithine aminotransferase (EC 2.6.1.11)	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	583355.3,2183990.3,2200854.3,159.151,1609969.5,1946934.3,379066.3,1946251.3,525909.11,481448.7,754252.34,1639.4260,2069310.3,41978.26,1002870.3,479430.3,394503.7,454171.5,126741.4,1391995.3,166793.3,1884905.18,2003555.3,1560006.3,1946798.3,1548207.7,926550.5,1577791.3,166.4
LSU ribosomal protein L34p	Membrane protein insertion efficiency factor YidD	1121447.3,1882918.15,2183990.3,1737569.3,309798.4,525904.6,159.151,36868.4,1432327.4,521095.6,1805053.3,59196.3,795359.3,2024841.10,754252.34,1121911.3,266117.10,608534.3,926569.3,41978.26,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,454171.5,1884905.18,2003555.3,1560006.3,1946798.3,376620.10,2023178.18,349741.6,2597224.3,655811.4,1647103.3,489703.3,190304.8,1946934.3,379066.3,796939.3,203907.6,1946251.3,428411.4,481448.7,2702.133,727.1550,1079.16,1945871.3,126741.4,166793.3,456827.3,1548207.7,926550.5,679936.5
ABC transporter, ATP-binding protein	Uncharacterized MFS-type transporter	1491.958,1423720.4,1737569.3,2069310.3,397948.10,479434.6,479430.3,1123388.3,679936.5,394503.7
Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)	Phosphate regulon transcriptional regulatory protein PhoB (SphR)	2490941.3,2605989.3,1491.958,727.1550,980251.5,572547.3,1260.19,479434.6,655811.4,1647103.3,938289.3,126741.4,2003555.3,1560006.3,137778.5,926550.5,376620.10,1121911.3,1947072.3,679936.5
Antiholin-like protein LrgA	LrgA-associated membrane protein LrgB	608534.3,1491.958,190304.8,572547.3,272844.11,518.42,1945871.3,655811.4,159.151,394503.7
Flagellar biosynthesis protein FliO	Flagellar biosynthesis protein FliP	1121447.3,2490941.3,1437881.3,1647103.3,1491.958,2023178.18,525909.11,518.42,679936.5,394503.7
Chromosome (plasmid) partitioning protein ParB	Inner membrane protein translocase and chaperone YidC, short form OxaI-like	2183990.3,2069310.3,479430.3,1294039.3,521095.6,1884905.18,2003555.3,1946522.3,926550.5,2702.133,754252.34,679936.5,266117.10
